,CleanRide_review,ride_rating,sentiment
0,accident uber driver mexico city car got side mirror brake working properly either almost got accident twice driver 's conversation unpleasant foreigner curious ask brought mexico replied tourist conversation became rude asked came look mexican husband never answered kept quiet took wrong route made several requested stop mind uberx continued asked sleep literally stopped car asked wait text someone asked let go take different driver locked door n't allow,1,0
1,account completely hacked sign view someone spent k uber ride credit debit card linked account dialed number available safety line told would need wait another department emailed n't hear anything almost hour prompted message help almost day still received phone call helpful support via email nightmare worst customer service ever experienced going filing police report person driver caught fraudulently using account looking attorney uber making identity theft priority rectifying situation end,1,0
2,requested mile ride boston saturday night around coming around app lyft around rate ended taking regular cab cost beware ,1,0
3,'ve driving company since since driving new place noticed uber taking fare passenger paid .. uber took gave driven hour even paid majority fare never hit making day 's maybe n't forget tack full tank gas car maintenance upkeep accrue quickly rideshare never drive think riding,1,0
4,uber overcharging toll fee florida toll fee estimate .. uber price shown example ride take ride get charge check account 's telling got charge toll driver never took toll route try contact uber company take long get back issue overcharge try email let know extra charge charge service n't receive,1,0
5,airport flight today uber would accept credit card venmo paypal last resort brought uber gift card cover ride airport 'll damned uber app would n't even accept gift card daughter downloaded three card app buy ride sure enough would n't accept card either last resort brought ride lift problem 'm sending uber back gift card certified mail demanding refund much stress barely made flight 'm also deleting uber 's app never ever use laura,1,0
6,worked uber lyft year take take take driver ate mostly foreign laborer illegally afraid fight back corporate crime wage theft like would n't believe n't gig economy job government need labor regulation state california setting example fighting,1,0
7,july year sushi delivered mexico ubereats subsidiary uber five occasion total cost peso -- u however billed dollar credit card something discovered end month paying credit card contacted uber customer support uber provide number call customer service work via email messaging told due glitch app charge would refunded,1,0
8,driver rohan nice tried add tip noticed switched fare french quarter someone else 's pm trip metairie uber refused acknowledge attempt rectify problem received nothing irrelevant automated reply get car rohan nola say ca n't get system work 's scam terrible customer service uber zero relevant assistance day requesting corrected bill beware,1,0
9,seven fraudulent uber transaction three day mid-october credit card nearly week tried unsuccessfully get uber customer service help uber totally uncooperative refused engage fraudulent charge someone system imposed cancel credit card get new credit card leave credit card company battle awful uber uber buyer beware know never use service,1,0
10,driver never showed uber cancelled ride u charged u cancellation fee cancelling disputed would credit future ride instead refund back credit card getting credit account instead full refund credit card used right done uber error,1,0
11,service worked good tech support responds quickly time unfortunately n't make problem encountered app rejected credit card offered explanation reason accepted paypal even though us card app rejected took day back forth tech support find card `` n't compatible system `` refused specific matter many time asked exact problem ie bank type card etc rephrase answer canned response repeatedly telling check w/ bank even told already done,1,0
12,responsible driver made decision use uber drink local cantina friend live within couple mile shared uber second person dropped sole set key i.e car house storage work fell pocket realized left backseat almost immediately way contact driver bc unfortunately friend one ordered ride friend contacted next day feat within bc uber driver extremely protected receive response,1,0
13,n't car available bush international airport october pm take taxi second time experienced last use lyft taxi future,1,0
14,punished circumstance beyond control asked repeatedly someone tell done wrong could done differently one talk see driver ubereats loved friday night several order completed due circumstance outside control order could delivered restaurant n't serving item time,1,0
15,n't use 's recommendation ordered uber selected car come pick got confirmation musa driver coming min price selected -eur guess min later got another message another driver coming min.. came min charged .eur +.eur extra time ... came late 'm charged extra time ... need mention well going hospital change cast broken leg 'm crutch moreover poring rain outside ... got teh invoice i'ev charge sent email nobody reply called time left voice message nobody ever pick phone call bank reply week passed already n't use nobody complain case driver rude even offensive charge whatever wish always extra never le,1,0
16,upfront pricing true pricing uber pad bill much 've uber driver charge wait time parked house front porch waiting watching booking fee come toll surcharge plus time distance charge dropping block destination saying got take another call uber driver used showed house wanting hookup one driver started groping front porch uber customer service brick wall credited ride uber cash matter charge excuse right reported sexual harassment two driver suspended account cost taxi taxi never told get walk rest way,1,0
17,n't believe way contact uber anymore even emergency number recording telling dial review help section ap.i put wonderful woman uber last night drive orange county l.a. driver despite wedding ring put move entire trip kept harassing phone number n't stop kept touching rubbing hand leg clung backpack praying would get home safe.she happily married child invite advancement men way pediatrician visiting l.a study advancement child heart surgery return county help save children.she able send message `` uber ap `` incident got `` auto response `` stating incident looked into.i searched `` way `` `` `` could contact uber account 've tried everything way contact uber yisak honda civic apd still picking ride `` hope `` worst `` groping `` uber take safety seriously pray one get hurt predatory driver,1,0
18,drive uber need get better currently drive uber concerned driver taking advantage people disability picked uber customer star rating thought something wrong still decided accept ride picked gentleman realized blind got car conversation told quickest pick ever gotten asked told usually keep requesting ubers know 's driver declining star rider told n't pas opportunity pick people get destination kindest man ever met realized driver given low rating disability,1,0
19,uber quoted fare £ driver turned late took long route got lost charged nearly £ complained reduced £ refund money £ quoted me.this theft.do use uber thief dishonest,1,0
20,driver fine ride experience dealing getting coupon first ride looking human talk amazed find one think charge enough hire customer service kind could n't even find human online,1,0
21,called uber going home two day ago yesterday charged extra even one told reason contacted uber told driver complained drunk something else sent stupid picture n't understand exactly happened called uber went home even n't talk driver went home come one asked anything charged directly take money back delete uber,1,0
22,email tried send back uber getting welcome email saying easy get help complete fabrication email waiting got home day uber-disasterhi well attempted first trip absolute disaster app get current address right n't want alter house number even actually wanted leave door finally got accept new house number would let enter suburb.. entering destination said would give quote entered credit card detail thought would ok since 'd seen estimated cost bit per km wanted charge well trip similar trip others obvious way cancel confirm closed app thinking would cancel .. re-entered app try trip even though confirmed previous attempt said could enter trip one already booked time . obvious way cancel trip way ring email uber get fixed.. searching seems way handle emergency fix utter shame many others similar experience unable contact anyone something went wrong.. finally found site explaining cancel future trip hidden side menu fortunately exorbitant charge taken bank.until get really bad experience obvious complete disdain user really really terrible app design tell everybody meet stay away uber uber-bad transport option intend never use unless something change,1,0
23,uber app like steal money claim refunded prefer lyft uber app like steal money claim refunded prefer lyft,1,0
24,cherry picker asks exactly going pick order asks lady going alone calculates good money company cancel trip cant review since trip n't started pretty nice rate level happened sure many people innocently questioned like cancelled order,1,0
25,uber southwestern corner az increased price keeping anywhere fare charging longer distance send driver shortest lyft con still cheaper uber,1,0
26,ordered ride block away home restaurant knowing would consuming alcohol offered discounted ride walk corner block pickup agreed confirmed ride notified would dropped block away restaurant never agreed part advertised area unsafe next highway ramp crosswalk traffic signal get destination immediately canceled ride,1,0
27,uber driver honolulu hawaii charging passenger extra pay via apple pay cash tried contacting uber talk issue asked supervisor gave runaround want let people know uber driver n't know hawaii place choose one star would,1,0
28,uber horrible company work for.uber treat driver like pure trash.the customer always right nomatter uber driver say .uber nothing pack greedy wolf care nothing one .uber proven fakeness .uber opinion,1,0
29,transportation app come improve thé day day runing activity accra ghana,3,0
30,used really like uber year bad driver year 'm constantly billing problem multiple extra charge fare tip point overdrawing bank account reaching customer service totally separate hell go thru find alternative see effort uber resolve,1,0
31,uber one minute gave quote ride needed kind family member helped pay purchasing uber gift card soon loaded gift card onto account brought ride app -- minute later showed see due surge pricing tried ride lyft -- price uber quoted loaded uber gift card,1,0
32,worst customer service uber initial fare shown r ride completes shown r double charge trying customer service number reachable worst service,1,0
33,completed trip n't get receipt 's support number went online help n't understand question matter worded guess 'm screwed thanks uber,1,0
34,driver well trained well disciplined hospitable.the car well decorated maintained.saves time,5,1
35,advised many people use save time money charged service offered twice lost £ £ time .i ordered taxi taxi driver come still charged shortly afterwards.never download damned uber app refund claim joke time consuming e-mailing back forth zero- result literally stole money shame come taxi company lie customer service please listen golden piece advice never use taxi company,1,0
36,recently charged uber pas want use uber time month would n't pay get pas saw charge paypal attempted contact uber however make impossible contact phone number ... .no email address website horrible navigate n't even give opportunity speak anyone tried dispute paypal said uber determined authorize purchase needle say writing paypal 's review next,1,0
37,dont use uber use cabify easy taxi get argentina go away uber service never needed month ago driver driving talking cell year old baby stunned contacted uber customer service ... .. dont customer service still pay driver didnt fine fee month ago husband year old trying get hospital son sick dog flu raining cat dog ordered uber uber driver decided pick u block away house husband explained kid sick raining please come location ... driver utterly belligerent rude nasty cancelled trip got charged cancellation fee ordered driver regular basis house train station without fail almost uber driver cancel ride end waiting extra minute replacement son late school uber driver uber give refund cancellation many friend use uber cancelled account due lack service lack moral lack respect,1,0
38,enjoy using uber traveling convenience nice driver friendly 's really convenient town area n't travel far 'd use work would quite costly daily convenience work partial swing 'm sure would get home send star driver would love dock star driver really filthy car car income source ca n't 's really way leave feed back either.i never let uber driver pick u house wait main drag complex entrance 've heard many uber driver heading back robbing place found uber really convenient traveling around big city outside city cost bit used trip wonderful communication worrying tip chance dropped wrong location due language barrier app tap pick request thank god google maps.i prefer local taxi cab driver scare hell u local taxi cab drive drive insanely fast unethical/safe maneuver driving turn meter illegal state start shouting flat fee rate ever happens ask let 're as whole situation n't even pay contact supervisor immediately company u state law illegal turn meter point passenger vehicle report manager leave request uber lyft service instead,3,0
39,'ve used uber various country year service good perhaps enhance customer service,3,0
40,experienced awful organized crime gun shooting threat robbing happened u riding uber service visit south africa ordered uber hotel `` catch meeting `` airport st -- hr -half way destination highway civilian car drove beside u asked uber driver pull -the uber driver parked aside -three gunned men came vehicle approached car searched glove compartment car trunk surprised luggage `` expected leaving country belonging wo n't even time report incident police flight would rather catch `` -the approached window threatened shoot u n't give -they took usd left awayhaving said consider uber solely responsible incident chastity safety security measure standard shall compensate u risk terrible experience money lost done action far although reported full detail currently back dubai/uae trust international neutral standard come life treat people safety taking issue please find attached police report uber trip detail sincerely abdelmutaleb awad ******* dubai united arab emirate,1,0
41,left phone car last ride trying contact website day luck obvious every response automated absolutely way reach human company rider uber ... failed need belonging returned,1,0
42,charged four time one trip different price write complaint bbb form next im going driver since uner cant seem reached never ever take uber take lfyt ill use dummy debit card amount owe taken im done going uber though getting money back last place posted ill posting every screen shot money company stole,1,0
43,uber keep record destination address put driver put whatever destination address she/he want get money back get charged coriders fare told record destination address actually put,1,0
44,requested ride fort worth south henderson street irving texas upfront fare showed economy ride said offer max per ride discount driver aashish toyota corolla ** came literally said âoh going home `` got ride exactly close home 's convenient said took favorite route per wish end charged dollar extra apart saying toll charge mean total fare non busy period never fare till 's maximum busy time,1,0
45,earlier uber great used provide prompt customer service quick redressal issue person speak acknowledgement even complain random multiple charge deducted trip thank god ola otherwise uber scam,1,0
46,uber worst charge everything allow driver say destination customer charged waiting fee literally waiting driver outside minute wrong complex get charged waiting fee top uber allows driver text drive sent pic uber stated cause alarmed keep freezing upload pic alot uber driver rude uber doesnt care uber want money,1,0
47,using uber rider good passenger rating never issue driver experience general good month ago uber disabled account reached customer support email exchange customer support sent rude offensive email violated term condition safely say truth challenged duplicate account quiet rider cooperative never caused issue asked customer support mistake lift suspension ignored request way treat client uber deal problem handle vast clientele currently make mistake way treat someone like believe tlc investigate uber operating term customer support well monitor much closer,1,0
48,uber eats cancel order without refund ubereats hi friend n't order food uber eats get money deliver food experience story customer support resolve problem delivery boy come home,1,0
